library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,7.4650,0.3177
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,7.5548,0.3198
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,8.2628,0.2551
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,8.8730,0.2024
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,7.4489,0.2994
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,7.9231,0.2633
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,8.3470,0.2312
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,8.8329,0.1949
sky130_fd_sc_hd__ss_100C_1v40,0.0000,0.0000,0.8596,0.9020
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,4.0590,0.6368
sky130_fd_sc_hd__ss_n40C_1v28,-16.6249,-6339.9839,-16.6249,1.7987
sky130_fd_sc_hd__ss_n40C_1v35,-8.0830,-2235.3291,-8.0830,1.3340
sky130_fd_sc_hd__ss_n40C_1v40,-4.3728,-906.9581,-4.3728,1.1159
sky130_fd_sc_hd__ss_n40C_1v44,-2.1636,-234.3673,-2.1636,0.9776
sky130_fd_sc_hd__ss_n40C_1v60,0.0000,0.0000,2.7336,0.6559
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,5.0836,0.4912
