library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,5.9124,0.3084
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,6.0434,0.3145
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,6.9660,0.2501
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,7.8760,0.1971
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,5.6673,0.2875
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,6.4214,0.2538
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,7.0595,0.2250
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,7.7865,0.1886
sky130_fd_sc_hd__ss_100C_1v40,-4.1795,-852.1469,-4.1795,0.8902
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,0.9168,0.6327
sky130_fd_sc_hd__ss_n40C_1v28,-33.1544,-17283.2285,-33.1544,1.7025
sky130_fd_sc_hd__ss_n40C_1v35,-18.6189,-8574.7725,-18.6189,1.2737
sky130_fd_sc_hd__ss_n40C_1v40,-12.6422,-4906.5107,-12.6422,1.0686
sky130_fd_sc_hd__ss_n40C_1v44,-9.1347,-2864.6699,-9.1347,0.9426
sky130_fd_sc_hd__ss_n40C_1v60,-1.2012,-101.2062,-1.2012,0.6401
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,2.4136,0.4817
