library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,7.4816,0.3089
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,7.5707,0.3138
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,8.2772,0.2474
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,8.8848,0.1956
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,7.4665,0.2896
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,7.9396,0.2544
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,8.3628,0.2226
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,8.8467,0.1858
sky130_fd_sc_hd__ss_100C_1v40,0.0000,0.0000,0.6140,0.8811
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,4.0389,0.6241
sky130_fd_sc_hd__ss_n40C_1v28,-17.9090,-7251.8408,-17.9090,1.7671
sky130_fd_sc_hd__ss_n40C_1v35,-8.7976,-2375.6597,-8.7976,1.2989
sky130_fd_sc_hd__ss_n40C_1v40,-4.7820,-888.6318,-4.7820,1.0878
sky130_fd_sc_hd__ss_n40C_1v44,-2.4837,-219.1432,-2.4837,0.9571
sky130_fd_sc_hd__ss_n40C_1v60,0.0000,0.0000,2.7781,0.6399
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,5.1094,0.4851
