Library Worst_Min_Slack
sky130_fd_sc_hd__tt_025C_1v80 0.3089
sky130_fd_sc_hd__tt_100C_1v80 0.3138
sky130_fd_sc_hd__ff_100C_1v65 0.2474
sky130_fd_sc_hd__ff_100C_1v95 0.1956
sky130_fd_sc_hd__ff_n40C_1v56 0.2896
sky130_fd_sc_hd__ff_n40C_1v65 0.2544
sky130_fd_sc_hd__ff_n40C_1v76 0.2226
sky130_fd_sc_hd__ff_n40C_1v95 0.1858
sky130_fd_sc_hd__ss_100C_1v40 0.8811
sky130_fd_sc_hd__ss_100C_1v60 0.6241
sky130_fd_sc_hd__ss_n40C_1v28 1.7671
sky130_fd_sc_hd__ss_n40C_1v35 1.2989
sky130_fd_sc_hd__ss_n40C_1v40 1.0878
sky130_fd_sc_hd__ss_n40C_1v44 0.9571
sky130_fd_sc_hd__ss_n40C_1v60 0.6399
sky130_fd_sc_hd__ss_n40C_1v76 0.4851
