library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,7.4919,0.3096
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,7.5563,0.3145
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,8.2590,0.2491
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,8.8909,0.1960
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,7.4025,0.2915
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,7.9060,0.2551
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,8.3438,0.2243
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,8.8426,0.1875
sky130_fd_sc_hd__ss_100C_1v40,0.0000,0.0000,0.5913,0.9053
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,3.9628,0.6420
sky130_fd_sc_hd__ss_n40C_1v28,-17.4120,-6628.3179,-17.4120,1.8296
sky130_fd_sc_hd__ss_n40C_1v35,-8.6849,-2371.1794,-8.6849,1.3475
sky130_fd_sc_hd__ss_n40C_1v40,-4.7765,-1021.6699,-4.7765,1.1249
sky130_fd_sc_hd__ss_n40C_1v44,-2.5174,-331.2511,-2.5174,0.9909
sky130_fd_sc_hd__ss_n40C_1v60,0.0000,0.0000,2.6805,0.6628
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,5.0899,0.5038
