library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,7.4686,0.3186
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,7.5576,0.3204
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,8.2655,0.2560
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,8.8743,0.2029
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,7.4535,0.2996
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,7.9265,0.2641
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,8.3503,0.2318
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,8.8350,0.1947
sky130_fd_sc_hd__ss_100C_1v40,0.0000,0.0000,0.8786,0.9027
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,4.0720,0.6389
sky130_fd_sc_hd__ss_n40C_1v28,-16.5580,-6166.7783,-16.5580,1.8008
sky130_fd_sc_hd__ss_n40C_1v35,-8.0419,-2099.0503,-8.0419,1.3323
sky130_fd_sc_hd__ss_n40C_1v40,-4.3410,-816.4869,-4.3410,1.1150
sky130_fd_sc_hd__ss_n40C_1v44,-2.1342,-196.1107,-2.1342,0.9795
sky130_fd_sc_hd__ss_n40C_1v60,0.0000,0.0000,2.7521,0.6579
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,5.0953,0.4920
