library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,7.4817,0.3089
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,7.5707,0.3138
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,8.2772,0.2474
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,8.8848,0.1956
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,7.4666,0.2896
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,7.9396,0.2544
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,8.3628,0.2226
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,8.8467,0.1858
sky130_fd_sc_hd__ss_100C_1v40,0.0000,0.0000,0.9108,0.8811
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,4.0969,0.6241
sky130_fd_sc_hd__ss_n40C_1v28,-16.5195,-6161.1006,-16.5195,1.7671
sky130_fd_sc_hd__ss_n40C_1v35,-7.9954,-2091.3398,-7.9954,1.2989
sky130_fd_sc_hd__ss_n40C_1v40,-4.2983,-807.8620,-4.2983,1.0878
sky130_fd_sc_hd__ss_n40C_1v44,-2.1025,-194.2075,-2.1025,0.9571
sky130_fd_sc_hd__ss_n40C_1v60,0.0000,0.0000,2.7781,0.6399
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,5.1094,0.4851
