library,wns,tns,worst_max_slack,worst_min_slack
sky130_fd_sc_hd__tt_025C_1v80,0.0000,0.0000,5.9765,0.3217
sky130_fd_sc_hd__tt_100C_1v80,0.0000,0.0000,6.1224,0.3247
sky130_fd_sc_hd__ff_100C_1v65,0.0000,0.0000,7.0599,0.2591
sky130_fd_sc_hd__ff_100C_1v95,0.0000,0.0000,7.9668,0.2046
sky130_fd_sc_hd__ff_n40C_1v56,0.0000,0.0000,5.7588,0.3036
sky130_fd_sc_hd__ff_n40C_1v65,0.0000,0.0000,6.5088,0.2672
sky130_fd_sc_hd__ff_n40C_1v76,0.0000,0.0000,7.1613,0.2352
sky130_fd_sc_hd__ff_n40C_1v95,0.0000,0.0000,7.8880,0.1974
sky130_fd_sc_hd__ss_100C_1v40,-3.6938,-715.1716,-3.6938,0.9160
sky130_fd_sc_hd__ss_100C_1v60,0.0000,0.0000,1.0890,0.6470
sky130_fd_sc_hd__ss_n40C_1v28,-30.6213,-16635.8984,-30.6213,1.8289
sky130_fd_sc_hd__ss_n40C_1v35,-17.4459,-8141.3311,-17.4459,1.3596
sky130_fd_sc_hd__ss_n40C_1v40,-11.9199,-4595.7075,-11.9199,1.1367
sky130_fd_sc_hd__ss_n40C_1v44,-8.6330,-2679.2839,-8.6330,0.9956
sky130_fd_sc_hd__ss_n40C_1v60,-1.1758,-62.9241,-1.1758,0.6685
sky130_fd_sc_hd__ss_n40C_1v76,0.0000,0.0000,2.3690,0.4987
