Library TNS
sky130_fd_sc_hd__tt_025C_1v80 0.0000
sky130_fd_sc_hd__tt_100C_1v80 0.0000
sky130_fd_sc_hd__ff_100C_1v65 0.0000
sky130_fd_sc_hd__ff_100C_1v95 0.0000
sky130_fd_sc_hd__ff_n40C_1v56 0.0000
sky130_fd_sc_hd__ff_n40C_1v65 0.0000
sky130_fd_sc_hd__ff_n40C_1v76 0.0000
sky130_fd_sc_hd__ff_n40C_1v95 0.0000
sky130_fd_sc_hd__ss_100C_1v40 -715.1716
sky130_fd_sc_hd__ss_100C_1v60 0.0000
sky130_fd_sc_hd__ss_n40C_1v28 -16635.8984
sky130_fd_sc_hd__ss_n40C_1v35 -8141.3311
sky130_fd_sc_hd__ss_n40C_1v40 -4595.7075
sky130_fd_sc_hd__ss_n40C_1v44 -2679.2839
sky130_fd_sc_hd__ss_n40C_1v60 -62.9241
sky130_fd_sc_hd__ss_n40C_1v76 0.0000
