Library WNS
sky130_fd_sc_hd__tt_025C_1v80 0.0000
sky130_fd_sc_hd__tt_100C_1v80 0.0000
sky130_fd_sc_hd__ff_100C_1v65 0.0000
sky130_fd_sc_hd__ff_100C_1v95 0.0000
sky130_fd_sc_hd__ff_n40C_1v56 0.0000
sky130_fd_sc_hd__ff_n40C_1v65 0.0000
sky130_fd_sc_hd__ff_n40C_1v76 0.0000
sky130_fd_sc_hd__ff_n40C_1v95 0.0000
sky130_fd_sc_hd__ss_100C_1v40 -3.6938
sky130_fd_sc_hd__ss_100C_1v60 0.0000
sky130_fd_sc_hd__ss_n40C_1v28 -30.6213
sky130_fd_sc_hd__ss_n40C_1v35 -17.4459
sky130_fd_sc_hd__ss_n40C_1v40 -11.9199
sky130_fd_sc_hd__ss_n40C_1v44 -8.6330
sky130_fd_sc_hd__ss_n40C_1v60 -1.1758
sky130_fd_sc_hd__ss_n40C_1v76 0.0000
